Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
"Congressional District 3 (116th Congress), Arkansas!!Percent!!Margin of Error",(X),,±0.4,±0.5,±0.5,±0.4,,±0.4,±0.4,,±0.6,N,±0.3,N,±0.1,±0.5,N,±0.6,±0.6,,±0.5,±0.7,±1.2,±1.1,±0.6,±1.0,±0.7,±0.8,±1.1,,(X),±1.1,±1.1,,(X)
"Congressional District 4 (116th Congress), Arkansas!!Total!!Estimate","530,036",,"100,257","111,882","179,777","138,120",,"254,487","275,549",,"408,205",N,"2,887",N,N,"5,281",N,"12,569","401,435",,"18,360","44,133","209,043","132,618","38,008","59,251","28,623","467,543","87,874",,"511,685","82,745","428,940",,"43,830"
"Congressional District 4 (116th Congress), Arkansas!!Total!!Margin of Error","±3,629",,"±2,759","±2,651","±3,151","±1,848",,"±2,635","±2,687",,"±3,665",N,±868,N,N,"±1,443",N,"±1,835","±3,131",,"±2,299","±3,530","±6,100","±6,093","±3,353","±4,029","±2,683","±5,112","±5,124",,"±4,214","±5,855","±6,797",,"±1,637"
"Congressional District 4 (116th Congress), Arkansas!!Percent!!Estimate",(X),,18.90%,21.10%,33.90%,26.10%,,48.00%,52.00%,,77.00%,N,0.50%,N,N,1.00%,N,2.40%,75.70%,,3.50%,8.30%,39.40%,25.00%,7.20%,11.20%,5.40%,88.20%,16.60%,,(X),16.20%,83.80%,,(X)
"Congressional District 4 (116th Congress), Arkansas!!Percent!!Margin of Error",(X),,±0.5,±0.5,±0.5,±0.4,,±0.4,±0.4,,±0.5,N,±0.2,N,N,±0.3,N,±0.3,±0.4,,±0.4,±0.7,±1.1,±1.1,±0.6,±0.8,±0.5,±0.7,±1.0,,(X),±1.1,±1.1,,(X)
"Congressional District 1 (116th Congress), California!!Total!!Estimate","548,314",,"106,652","121,836","170,432","149,394",,"275,328","272,986",,"479,713",N,"14,359",N,N,"12,619",N,"60,636","438,701",,"11,274","36,340","141,854","167,597","58,255","90,654","42,340","500,700","132,994",,"530,309","70,482","459,827",,"62,265"
"Congressional District 1 (116th Congress), California!!Total!!Margin of Error","±5,508",,"±3,054","±3,462","±3,725","±2,712",,"±3,716","±3,315",,"±5,692",N,"±1,526",N,N,"±2,647",N,"±3,328","±4,609",,"±1,989","±3,551","±6,259","±5,840","±3,585","±4,523","±3,496","±6,013","±5,112",,"±5,571","±5,280","±8,175",,"±2,466"
"Congressional District 1 (116th Congress), California!!Percent!!Estimate",(X),,19.50%,22.20%,31.10%,27.20%,,50.20%,49.80%,,87.50%,N,2.60%,N,N,2.30%,N,11.10%,80.00%,,2.10%,6.60%,25.90%,30.60%,10.60%,16.50%,7.70%,91.30%,24.30%,,(X),13.30%,86.70%,,(X)
"Congressional District 1 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.5,±0.6,±0.5,±0.5,,±0.4,±0.4,,±0.6,N,±0.3,N,N,±0.5,N,±0.5,±0.6,,±0.4,±0.6,±1.1,±1.1,±0.6,±0.8,±0.6,±0.7,±0.9,,(X),±1.0,±1.0,,(X)
"Congressional District 2 (116th Congress), California!!Total!!Estimate","531,039",,"87,804","107,066","182,020","154,149",,"258,428","272,611",,"447,324",N,"20,187",N,N,"19,663","21,382","60,638","412,991",,"8,395","27,856","99,726","134,347","45,927","138,015","76,773","494,788","214,788",,"519,402","48,857","470,545",,"81,376"
"Congressional District 2 (116th Congress), California!!Total!!Margin of Error","±6,821",,"±3,724","±3,695","±4,195","±3,922",,"±4,179","±4,127",,"±6,343",N,"±1,495",N,N,"±4,144","±2,475","±4,672","±5,652",,"±1,531","±2,513","±5,893","±5,611","±3,697","±5,275","±3,924","±6,965","±6,062",,"±7,037","±4,120","±7,698",,"±3,021"
"Congressional District 2 (116th Congress), California!!Percent!!Estimate",(X),,16.50%,20.20%,34.30%,29.00%,,48.70%,51.30%,,84.20%,N,3.80%,N,N,3.70%,4.00%,11.40%,77.80%,,1.60%,5.20%,18.80%,25.30%,8.60%,26.00%,14.50%,93.20%,40.40%,,(X),9.40%,90.60%,,(X)
"Congressional District 2 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.7,±0.6,±0.6,±0.7,,±0.4,±0.4,,±0.7,N,±0.3,N,N,±0.8,±0.5,±0.8,±0.8,,±0.3,±0.5,±1.0,±1.1,±0.7,±1.0,±0.7,±0.6,±1.0,,(X),±0.8,±0.8,,(X)
"Congressional District 3 (116th Congress), California!!Total!!Estimate","522,479",,"130,387","125,788","159,377","106,927",,"260,030","262,449",,"370,244","37,996","53,404",N,N,"23,373","25,757","121,511","280,618",,"19,147","34,063","130,501","154,779","52,528","84,729","46,732","469,269","131,461",,"503,711","58,688","445,023",,"76,054"
"Congressional District 3 (116th Congress), California!!Total!!Margin of Error","±7,178",,"±5,622","±4,954","±4,970","±3,172",,"±4,640","±4,927",,"±6,346","±3,445","±4,178",N,N,"±3,339","±2,770","±5,189","±5,099",,"±3,228","±3,954","±5,622","±7,254","±3,790","±5,263","±3,999","±7,788","±6,643",,"±7,771","±6,053","±8,064",,"±2,017"
"Congressional District 3 (116th Congress), California!!Percent!!Estimate",(X),,25.00%,24.10%,30.50%,20.50%,,49.80%,50.20%,,70.90%,7.30%,10.20%,N,N,4.50%,4.90%,23.30%,53.70%,,3.70%,6.50%,25.00%,29.60%,10.10%,16.20%,8.90%,89.80%,25.20%,,(X),11.70%,88.30%,,(X)
"Congressional District 3 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.0,±0.9,±0.8,±0.6,,±0.6,±0.6,,±1.1,±0.6,±0.8,N,N,±0.6,±0.5,±0.9,±1.0,,±0.6,±0.8,±1.0,±1.3,±0.8,±1.0,±0.8,±0.9,±1.2,,(X),±1.2,±1.2,,(X)
"Congressional District 4 (116th Congress), California!!Total!!Estimate","577,133",,"81,476","126,768","204,076","164,813",,"284,329","292,804",,"501,842",N,"27,214",N,N,"8,381",N,"61,006","458,411",,"10,047","28,088","128,919","155,497","63,469","131,021","60,092","538,998","191,113",,"568,093","42,275","525,818",,"86,945"
"Congressional District 4 (116th Congress), California!!Total!!Margin of Error","±6,929",,"±3,356","±3,992","±4,085","±3,279",,"±4,321","±4,008",,"±6,506",N,"±2,138",N,N,"±1,945",N,"±3,239","±5,752",,"±1,552","±2,946","±5,377","±6,400","±4,118","±5,042","±3,649","±7,642","±5,637",,"±7,004","±4,129","±7,469",,"±2,114"
"Congressional District 4 (116th Congress), California!!Percent!!Estimate",(X),,14.10%,22.00%,35.40%,28.60%,,49.30%,50.70%,,87.00%,N,4.70%,N,N,1.50%,N,10.60%,79.40%,,1.70%,4.90%,22.30%,26.90%,11.00%,22.70%,10.40%,93.40%,33.10%,,(X),7.40%,92.60%,,(X)
"Congressional District 4 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.5,±0.6,±0.6,±0.5,,±0.4,±0.4,,±0.6,N,±0.4,N,N,±0.3,N,±0.5,±0.7,,±0.3,±0.5,±0.9,±1.0,±0.7,±0.8,±0.6,±0.6,±0.9,,(X),±0.7,±0.7,,(X)
"Congressional District 5 (116th Congress), California!!Total!!Estimate","520,065",,"93,959","119,062","175,504","131,540",,"250,997","269,068",,"357,406","36,937","58,639",N,N,"38,407","24,225","102,036","305,943",,"15,839","26,739","114,171","143,754","49,748","108,245","61,569","477,487","169,814",,"512,672","40,112","472,560",,"87,889"
"Congressional District 5 (116th Congress), California!!Total!!Margin of Error","±11,245",,"±5,130","±5,490","±5,559","±4,510",,"±6,910","±6,707",,"±9,619","±3,725","±4,533",N,N,"±4,534","±3,959","±7,090","±7,523",,"±2,420","±2,655","±7,252","±6,532","±3,419","±5,339","±4,523","±10,522","±6,973",,"±11,250","±4,260","±11,057",,"±3,198"
"Congressional District 5 (116th Congress), California!!Percent!!Estimate",(X),,18.10%,22.90%,33.70%,25.30%,,48.30%,51.70%,,68.70%,7.10%,11.30%,N,N,7.40%,4.70%,19.60%,58.80%,,3.00%,5.10%,22.00%,27.60%,9.60%,20.80%,11.80%,91.80%,32.70%,,(X),7.80%,92.20%,,(X)
"Congressional District 5 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.8,±0.9,±0.8,±0.9,,±0.7,±0.7,,±1.3,±0.7,±0.9,N,N,±0.8,±0.7,±1.1,±1.2,,±0.5,±0.5,±1.2,±1.2,±0.7,±0.9,±0.9,±0.7,±1.2,,(X),±0.8,±0.8,,(X)
"Congressional District 6 (116th Congress), California!!Total!!Estimate","519,617",,"129,549","147,706","147,014","95,348",,"244,641","274,976",,"279,034","66,552","78,887",N,"6,901","51,475","32,674","122,648","219,355",,"21,877","30,258","136,736","139,365","43,257","101,797","46,327","467,482","148,124",,"512,485","66,038","446,447",,"66,804"
"Congressional District 6 (116th Congress), California!!Total!!Margin of Error","±9,205",,"±5,876","±5,331","±5,754","±4,335",,"±6,288","±5,614",,"±8,465","±4,873","±5,628",N,"±1,880","±5,283","±3,698","±5,986","±6,744",,"±2,863","±3,261","±7,651","±6,517","±3,919","±5,444","±4,076","±8,865","±6,307",,"±9,668","±6,073","±11,471",,"±2,913"
"Congressional District 6 (116th Congress), California!!Percent!!Estimate",(X),,24.90%,28.40%,28.30%,18.30%,,47.10%,52.90%,,53.70%,12.80%,15.20%,N,1.30%,9.90%,6.30%,23.60%,42.20%,,4.20%,5.80%,26.30%,26.80%,8.30%,19.60%,8.90%,90.00%,28.50%,,(X),12.90%,87.10%,,(X)
"Congressional District 6 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.0,±0.9,±0.9,±0.8,,±0.7,±0.7,,±1.3,±0.9,±1.0,N,±0.4,±1.0,±0.7,±1.1,±1.0,,±0.5,±0.6,±1.3,±1.2,±0.8,±1.1,±0.8,±0.8,±1.2,,(X),±1.2,±1.2,,(X)
"Congressional District 7 (116th Congress), California!!Total!!Estimate","537,108",,"99,245","134,566","188,132","115,165",,"257,950","279,158",,"349,371","43,189","85,696",N,"4,946","21,941","28,341","76,485","304,064",,"14,341","26,452","117,078","148,814","59,032","115,240","56,151","496,315","171,391",,"530,953","44,696","486,257",,"80,455"
"Congressional District 7 (116th Congress), California!!Total!!Margin of Error","±10,246",,"±5,439","±5,579","±5,927","±3,841",,"±6,411","±5,927",,"±7,753","±4,453","±5,759",N,"±1,577","±3,119","±3,502","±5,401","±6,926",,"±2,129","±2,437","±7,323","±6,237","±3,850","±5,742","±4,152","±10,192","±7,102",,"±10,390","±5,150","±11,391",,"±3,090"
"Congressional District 7 (116th Congress), California!!Percent!!Estimate",(X),,18.50%,25.10%,35.00%,21.40%,,48.00%,52.00%,,65.00%,8.00%,16.00%,N,0.90%,4.10%,5.30%,14.20%,56.60%,,2.70%,4.90%,21.80%,27.70%,11.00%,21.50%,10.50%,92.40%,31.90%,,(X),8.40%,91.60%,,(X)
"Congressional District 7 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.9,±0.9,±0.9,±0.7,,±0.6,±0.6,,±1.1,±0.8,±1.0,N,±0.3,±0.6,±0.6,±1.0,±1.1,,±0.4,±0.5,±1.2,±1.1,±0.7,±0.9,±0.8,±0.5,±1.1,,(X),±1.0,±1.0,,(X)
"Congressional District 8 (116th Congress), California!!Total!!Estimate","473,737",,"117,745","116,893","146,684","92,415",,"235,671","238,066",,"359,175",N,"11,598",N,N,"30,588",N,"169,998","232,215",,"17,481","44,690","149,078","141,528","44,587","49,059","27,314","411,566","76,373",,"461,162","65,352","395,810",,"56,601"
"Congressional District 8 (116th Congress), California!!Total!!Margin of Error","±9,561",,"±5,861","±6,152","±6,823","±4,926",,"±6,524","±6,254",,"±11,588",N,"±2,084",N,N,"±4,768",N,"±8,455","±8,372",,"±3,101","±4,463","±7,884","±6,413","±4,251","±4,736","±2,996","±10,189","±5,777",,"±9,290","±6,142","±10,435",,"±2,993"
"Congressional District 8 (116th Congress), California!!Percent!!Estimate",(X),,24.90%,24.70%,31.00%,19.50%,,49.70%,50.30%,,75.80%,N,2.40%,N,N,6.50%,N,35.90%,49.00%,,3.70%,9.40%,31.50%,29.90%,9.40%,10.40%,5.80%,86.90%,16.10%,,(X),14.20%,85.80%,,(X)
"Congressional District 8 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.2,±1.2,±1.2,±1.0,,±0.9,±0.9,,±1.8,N,±0.4,N,N,±1.0,N,±1.6,±1.6,,±0.7,±0.9,±1.4,±1.3,±0.9,±1.0,±0.6,±1.2,±1.2,,(X),±1.3,±1.3,,(X)
"Congressional District 9 (116th Congress), California!!Total!!Estimate","506,465",,"117,452","123,733","159,889","105,391",,"249,492","256,973",,"287,614","55,463","78,847",N,"3,938","38,012","39,212","153,306","199,952",,"28,637","39,391","155,950","127,842","46,639","74,498","33,508","438,437","108,006",,"493,713","48,889","444,824",,"76,775"
"Congressional District 9 (116th Congress), California!!Total!!Margin of Error","±8,956",,"±5,263","±5,840","±6,799","±5,354",,"±5,988","±5,896",,"±9,548","±4,169","±4,458",N,"±1,549","±6,354","±4,948","±8,557","±7,804",,"±3,464","±3,994","±7,717","±6,574","±4,080","±5,074","±4,148","±8,962","±6,261",,"±8,936","±4,644","±9,328",,"±2,450"
"Congressional District 9 (116th Congress), California!!Percent!!Estimate",(X),,23.20%,24.40%,31.60%,20.80%,,49.30%,50.70%,,56.80%,11.00%,15.60%,N,0.80%,7.50%,7.70%,30.30%,39.50%,,5.70%,7.80%,30.80%,25.20%,9.20%,14.70%,6.60%,86.60%,21.30%,,(X),9.90%,90.10%,,(X)
"Congressional District 9 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.0,±1.2,±1.1,±0.9,,±0.8,±0.8,,±1.6,±0.8,±0.9,N,±0.3,±1.2,±1.0,±1.5,±1.4,,±0.7,±0.8,±1.4,±1.2,±0.8,±1.0,±0.8,±1.0,±1.2,,(X),±0.9,±0.9,,(X)
"Congressional District 10 (116th Congress), California!!Total!!Estimate","491,086",,"120,382","124,110","153,129","93,465",,"239,035","252,051",,"379,764",N,"35,604",N,"3,810","25,611","22,903","171,957","244,066",,"25,737","37,231","151,837","150,451","40,798","62,645","22,387","428,118","85,032",,"485,806","48,521","437,285",,"72,090"
"Congressional District 10 (116th Congress), California!!Total!!Margin of Error","±7,113",,"±4,189","±4,490","±5,168","±3,361",,"±4,720","±4,704",,"±7,546",N,"±3,640",N,"±1,206","±3,490","±2,974","±6,461","±4,530",,"±3,979","±4,380","±6,596","±6,431","±3,993","±4,763","±2,459","±8,477","±5,307",,"±6,955","±5,156","±8,871",,"±2,558"
"Congressional District 10 (116th Congress), California!!Percent!!Estimate",(X),,24.50%,25.30%,31.20%,19.00%,,48.70%,51.30%,,77.30%,N,7.30%,N,0.80%,5.20%,4.70%,35.00%,49.70%,,5.20%,7.60%,30.90%,30.60%,8.30%,12.80%,4.60%,87.20%,17.30%,,(X),10.00%,90.00%,,(X)
"Congressional District 10 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.8,±0.9,±0.8,±0.7,,±0.6,±0.6,,±1.2,N,±0.7,N,±0.2,±0.7,±0.6,±1.1,±0.9,,±0.8,±0.9,±1.3,±1.3,±0.8,±0.9,±0.5,±1.2,±1.0,,(X),±1.1,±1.1,,(X)
"Congressional District 11 (116th Congress), California!!Total!!Estimate","502,739",,"92,312","112,951","176,779","120,697",,"243,068","259,671",,"310,268","45,457","72,328",N,N,"46,815","23,086","98,715","267,753",,"15,762","25,101","87,118","108,145","40,286","137,150","89,177","461,876","226,327",,"497,159","33,822","463,337",,"109,448"
"Congressional District 11 (116th Congress), California!!Total!!Margin of Error","±9,120",,"±5,047","±6,117","±5,167","±4,123",,"±6,146","±5,322",,"±7,514","±4,587","±5,277",N,N,"±5,392","±3,055","±6,849","±6,506",,"±2,527","±3,261","±6,561","±6,271","±4,279","±6,684","±4,818","±8,884","±7,344",,"±9,146","±4,413","±9,197",,"±4,340"
"Congressional District 11 (116th Congress), California!!Percent!!Estimate",(X),,18.40%,22.50%,35.20%,24.00%,,48.30%,51.70%,,61.70%,9.00%,14.40%,N,N,9.30%,4.60%,19.60%,53.30%,,3.10%,5.00%,17.30%,21.50%,8.00%,27.30%,17.70%,91.90%,45.00%,,(X),6.80%,93.20%,,(X)
"Congressional District 11 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.9,±1.1,±0.9,±0.8,,±0.7,±0.7,,±1.2,±0.9,±1.0,N,N,±1.0,±0.6,±1.2,±1.1,,±0.5,±0.6,±1.2,±1.2,±0.8,±1.2,±1.0,±0.8,±1.4,,(X),±0.9,±0.9,,(X)
"Congressional District 12 (116th Congress), California!!Total!!Estimate","584,273",,"117,655","189,444","162,646","114,528",,"296,492","287,781",,"294,564","36,385","189,788",N,N,"33,193","25,451","69,487","267,726",,"30,442","24,506","65,244","85,773","25,369","217,726","135,213","529,325","352,939",,"577,271","55,052","522,219",,"130,344"
"Congressional District 12 (116th Congress), California!!Total!!Margin of Error","±8,644",,"±5,055","±4,437","±3,945","±3,028",,"±5,949","±4,830",,"±5,969","±1,624","±5,451",N,N,"±3,884","±3,328","±4,263","±4,650",,"±3,238","±2,972","±4,882","±6,257","±2,879","±7,719","±6,246","±8,399","±7,821",,"±8,726","±5,301","±9,874",,"±4,839"
"Congressional District 12 (116th Congress), California!!Percent!!Estimate",(X),,20.10%,32.40%,27.80%,19.60%,,50.70%,49.30%,,50.40%,6.20%,32.50%,N,N,5.70%,4.40%,11.90%,45.80%,,5.20%,4.20%,11.20%,14.70%,4.30%,37.30%,23.10%,90.60%,60.40%,,(X),9.50%,90.50%,,(X)
"Congressional District 12 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.7,±0.6,±0.6,±0.6,,±0.6,±0.6,,±0.9,±0.3,±0.8,N,N,±0.6,±0.6,±0.6,±0.7,,±0.5,±0.5,±0.8,±1.0,±0.5,±1.2,±1.1,±0.7,±1.3,,(X),±0.9,±0.9,,(X)
"Congressional District 13 (116th Congress), California!!Total!!Estimate","541,697",,"124,588","156,757","156,049","104,303",,"256,790","284,907",,"245,157","101,611","112,840","3,752",N,"45,307","30,370","87,044","216,011",,"19,873","25,454","81,823","101,717","29,218","163,239","120,373","496,370","283,612",,"528,652","64,138","464,514",,"95,311"
"Congressional District 13 (116th Congress), California!!Total!!Margin of Error","±8,222",,"±5,284","±5,008","±5,802","±4,076",,"±6,014","±4,601",,"±6,859","±5,209","±6,061","±1,037",N,"±4,928","±3,555","±5,367","±6,211",,"±2,692","±2,876","±5,195","±6,670","±3,655","±6,504","±5,295","±8,041","±8,190",,"±8,296","±5,620","±9,770",,"±3,626"
"Congressional District 13 (116th Congress), California!!Percent!!Estimate",(X),,23.00%,28.90%,28.80%,19.30%,,47.40%,52.60%,,45.30%,18.80%,20.80%,0.70%,N,8.40%,5.60%,16.10%,39.90%,,3.70%,4.70%,15.10%,18.80%,5.40%,30.10%,22.20%,91.60%,52.40%,,(X),12.10%,87.90%,,(X)
"Congressional District 13 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.9,±1.0,±0.9,±0.7,,±0.6,±0.6,,±1.1,±0.9,±1.0,±0.2,N,±0.9,±0.6,±0.9,±1.1,,±0.5,±0.5,±0.9,±1.1,±0.7,±1.2,±1.0,±0.7,±1.5,,(X),±1.1,±1.1,,(X)
"Congressional District 14 (116th Congress), California!!Total!!Estimate","501,803",,"95,409","118,220","169,287","118,887",,"242,363","259,440",,"238,223","16,474","182,593",N,"6,037","36,707","19,617","90,633","192,498",,"20,624","20,576","79,857","98,449","40,504","147,324","94,469","460,603","241,793",,"496,366","28,576","467,790",,"130,437"
"Congressional District 14 (116th Congress), California!!Total!!Margin of Error","±10,255",,"±5,265","±4,782","±5,168","±3,890",,"±6,188","±6,182",,"±8,053","±1,507","±6,198",N,"±1,388","±4,200","±2,512","±5,619","±5,593",,"±2,490","±3,319","±6,430","±5,522","±3,316","±6,139","±4,398","±9,662","±7,424",,"±10,356","±3,658","±10,245",,"±7,926"
"Congressional District 14 (116th Congress), California!!Percent!!Estimate",(X),,19.00%,23.60%,33.70%,23.70%,,48.30%,51.70%,,47.50%,3.30%,36.40%,N,1.20%,7.30%,3.90%,18.10%,38.40%,,4.10%,4.10%,15.90%,19.60%,8.10%,29.40%,18.80%,91.80%,48.20%,,(X),5.80%,94.20%,,(X)
"Congressional District 14 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.9,±0.8,±0.8,±0.7,,±0.7,±0.7,,±1.2,±0.3,±1.1,N,±0.3,±0.8,±0.5,±1.0,±0.9,,±0.5,±0.6,±1.2,±1.1,±0.6,±1.1,±0.8,±0.8,±1.3,,(X),±0.7,±0.7,,(X)
"Congressional District 15 (116th Congress), California!!Total!!Estimate","502,500",,"90,099","129,853","182,382","100,166",,"249,505","252,995",,"237,472","30,910","159,512",N,"4,644","39,806","27,078","95,417","190,998",,"15,229","22,711","101,547","104,784","37,079","141,169","79,981","464,560","221,150",,"497,281","22,918","474,363",,"124,813"
"Congressional District 15 (116th Congress), California!!Total!!Margin of Error","±9,244",,"±5,229","±5,747","±5,522","±4,691",,"±5,518","±6,443",,"±7,287","±4,409","±7,364",N,"±1,109","±5,261","±3,443","±5,696","±6,481",,"±2,225","±2,754","±6,352","±6,388","±3,459","±5,687","±4,432","±9,294","±7,305",,"±9,494","±3,282","±9,630",,"±3,454"
"Congressional District 15 (116th Congress), California!!Percent!!Estimate",(X),,17.90%,25.80%,36.30%,19.90%,,49.70%,50.30%,,47.30%,6.20%,31.70%,N,0.90%,7.90%,5.40%,19.00%,38.00%,,3.00%,4.50%,20.20%,20.90%,7.40%,28.10%,15.90%,92.40%,44.00%,,(X),4.60%,95.40%,,(X)
"Congressional District 15 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.0,±1.1,±0.8,±0.9,,±0.8,±0.8,,±1.3,±0.9,±1.3,N,±0.2,±1.0,±0.7,±1.0,±1.3,,±0.4,±0.5,±1.2,±1.2,±0.7,±1.1,±0.8,±0.7,±1.3,,(X),±0.7,±0.7,,(X)
"Congressional District 16 (116th Congress), California!!Total!!Estimate","423,209",,"123,080","113,937","110,768","75,424",,"204,465","218,744",,"254,165",N,"39,169",N,N,"78,074","15,008","214,974","126,947",,"32,640","50,459","119,951","126,534","35,498","42,266","15,861","340,110","58,127",,"405,772","72,834","332,938",,"52,124"
"Congressional District 16 (116th Congress), California!!Total!!Margin of Error","±11,021",,"±6,113","±5,740","±4,840","±3,419",,"±7,064","±5,593",,"±8,603",N,"±4,249",N,N,"±5,904","±2,151","±8,644","±5,290",,"±3,079","±4,987","±7,372","±6,302","±3,573","±4,214","±2,433","±9,477","±4,884",,"±11,133","±6,879","±12,063",,"±3,131"
"Congressional District 16 (116th Congress), California!!Percent!!Estimate",(X),,29.10%,26.90%,26.20%,17.80%,,48.30%,51.70%,,60.10%,N,9.30%,N,N,18.40%,3.50%,50.80%,30.00%,,7.70%,11.90%,28.30%,29.90%,8.40%,10.00%,3.70%,80.40%,13.70%,,(X),17.90%,82.10%,,(X)
"Congressional District 16 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.1,±1.1,±1.0,±0.8,,±0.8,±0.8,,±1.4,N,±0.9,N,N,±1.4,±0.5,±1.4,±1.1,,±0.7,±1.1,±1.6,±1.4,±0.8,±0.9,±0.6,±1.1,±1.1,,(X),±1.7,±1.7,,(X)
