Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
0605_!!Total!!Estimate,520065,,93959,119062,175504,131540,,250997,269068,,357406,36937,58639,N,N,38407,24225,102036,305943,,15839,26739,114171,143754,49748,108245,61569,477487,169814,,512672,40112,472560,,87889
0605_!!Total!!Margin of Error,±11245,,±5130,±5490,±5559,±4510,,±6910,±6707,,±9619,±3725,±4533,N,N,±4534,±3959,±7090,±7523,,±2420,±2655,±7252,±6532,±3419,±5339,±4523,±10522,±6973,,±11250,±4260,±11057,,±3198
0605_!!Percent!!Estimate,(X),,18.10%,22.90%,33.70%,25.30%,,48.30%,51.70%,,68.70%,7.10%,11.30%,N,N,7.40%,4.70%,19.60%,58.80%,,3.00%,5.10%,22.00%,27.60%,9.60%,20.80%,11.80%,91.80%,32.70%,,(X),7.80%,92.20%,,(X)
0605_!!Percent!!Margin of Error,(X),,±0.8,±0.9,±0.8,±0.9,,±0.7,±0.7,,±1.3,±0.7,±0.9,N,N,±0.8,±0.7,±1.1,±1.2,,±0.5,±0.5,±1.2,±1.2,±0.7,±0.9,±0.9,±0.7,±1.2,,(X),±0.8,±0.8,,(X)
0606_!!Total!!Estimate,519617,,129549,147706,147014,95348,,244641,274976,,279034,66552,78887,N,6901,51475,32674,122648,219355,,21877,30258,136736,139365,43257,101797,46327,467482,148124,,512485,66038,446447,,66804
0606_!!Total!!Margin of Error,±9205,,±5876,±5331,±5754,±4335,,±6288,±5614,,±8465,±4873,±5628,N,±1880,±5283,±3698,±5986,±6744,,±2863,±3261,±7651,±6517,±3919,±5444,±4076,±8865,±6307,,±9668,±6073,±11471,,±2913
0606_!!Percent!!Estimate,(X),,24.90%,28.40%,28.30%,18.30%,,47.10%,52.90%,,53.70%,12.80%,15.20%,N,1.30%,9.90%,6.30%,23.60%,42.20%,,4.20%,5.80%,26.30%,26.80%,8.30%,19.60%,8.90%,90.00%,28.50%,,(X),12.90%,87.10%,,(X)
0606_!!Percent!!Margin of Error,(X),,±1.0,±0.9,±0.9,±0.8,,±0.7,±0.7,,±1.3,±0.9,±1.0,N,±0.4,±1.0,±0.7,±1.1,±1.0,,±0.5,±0.6,±1.3,±1.2,±0.8,±1.1,±0.8,±0.8,±1.2,,(X),±1.2,±1.2,,(X)
0607_!!Total!!Estimate,537108,,99245,134566,188132,115165,,257950,279158,,349371,43189,85696,N,4946,21941,28341,76485,304064,,14341,26452,117078,148814,59032,115240,56151,496315,171391,,530953,44696,486257,,80455
0607_!!Total!!Margin of Error,±10246,,±5439,±5579,±5927,±3841,,±6411,±5927,,±7753,±4453,±5759,N,±1577,±3119,±3502,±5401,±6926,,±2129,±2437,±7323,±6237,±3850,±5742,±4152,±10192,±7102,,±10390,±5150,±11391,,±3090
0607_!!Percent!!Estimate,(X),,18.50%,25.10%,35.00%,21.40%,,48.00%,52.00%,,65.00%,8.00%,16.00%,N,0.90%,4.10%,5.30%,14.20%,56.60%,,2.70%,4.90%,21.80%,27.70%,11.00%,21.50%,10.50%,92.40%,31.90%,,(X),8.40%,91.60%,,(X)
0607_!!Percent!!Margin of Error,(X),,±0.9,±0.9,±0.9,±0.7,,±0.6,±0.6,,±1.1,±0.8,±1.0,N,±0.3,±0.6,±0.6,±1.0,±1.1,,±0.4,±0.5,±1.2,±1.1,±0.7,±0.9,±0.8,±0.5,±1.1,,(X),±1.0,±1.0,,(X)
0608_!!Total!!Estimate,473737,,117745,116893,146684,92415,,235671,238066,,359175,N,11598,N,N,30588,N,169998,232215,,17481,44690,149078,141528,44587,49059,27314,411566,76373,,461162,65352,395810,,56601
0608_!!Total!!Margin of Error,±9561,,±5861,±6152,±6823,±4926,,±6524,±6254,,±11588,N,±2084,N,N,±4768,N,±8455,±8372,,±3101,±4463,±7884,±6413,±4251,±4736,±2996,±10189,±5777,,±9290,±6142,±10435,,±2993
0608_!!Percent!!Estimate,(X),,24.90%,24.70%,31.00%,19.50%,,49.70%,50.30%,,75.80%,N,2.40%,N,N,6.50%,N,35.90%,49.00%,,3.70%,9.40%,31.50%,29.90%,9.40%,10.40%,5.80%,86.90%,16.10%,,(X),14.20%,85.80%,,(X)
0608_!!Percent!!Margin of Error,(X),,±1.2,±1.2,±1.2,±1.0,,±0.9,±0.9,,±1.8,N,±0.4,N,N,±1.0,N,±1.6,±1.6,,±0.7,±0.9,±1.4,±1.3,±0.9,±1.0,±0.6,±1.2,±1.2,,(X),±1.3,±1.3,,(X)
0609_!!Total!!Estimate,506465,,117452,123733,159889,105391,,249492,256973,,287614,55463,78847,N,3938,38012,39212,153306,199952,,28637,39391,155950,127842,46639,74498,33508,438437,108006,,493713,48889,444824,,76775
0609_!!Total!!Margin of Error,±8956,,±5263,±5840,±6799,±5354,,±5988,±5896,,±9548,±4169,±4458,N,±1549,±6354,±4948,±8557,±7804,,±3464,±3994,±7717,±6574,±4080,±5074,±4148,±8962,±6261,,±8936,±4644,±9328,,±2450
0609_!!Percent!!Estimate,(X),,23.20%,24.40%,31.60%,20.80%,,49.30%,50.70%,,56.80%,11.00%,15.60%,N,0.80%,7.50%,7.70%,30.30%,39.50%,,5.70%,7.80%,30.80%,25.20%,9.20%,14.70%,6.60%,86.60%,21.30%,,(X),9.90%,90.10%,,(X)
0609_!!Percent!!Margin of Error,(X),,±1.0,±1.2,±1.1,±0.9,,±0.8,±0.8,,±1.6,±0.8,±0.9,N,±0.3,±1.2,±1.0,±1.5,±1.4,,±0.7,±0.8,±1.4,±1.2,±0.8,±1.0,±0.8,±1.0,±1.2,,(X),±0.9,±0.9,,(X)
0610_!!Total!!Estimate,491086,,120382,124110,153129,93465,,239035,252051,,379764,N,35604,N,3810,25611,22903,171957,244066,,25737,37231,151837,150451,40798,62645,22387,428118,85032,,485806,48521,437285,,72090
0610_!!Total!!Margin of Error,±7113,,±4189,±4490,±5168,±3361,,±4720,±4704,,±7546,N,±3640,N,±1206,±3490,±2974,±6461,±4530,,±3979,±4380,±6596,±6431,±3993,±4763,±2459,±8477,±5307,,±6955,±5156,±8871,,±2558
0610_!!Percent!!Estimate,(X),,24.50%,25.30%,31.20%,19.00%,,48.70%,51.30%,,77.30%,N,7.30%,N,0.80%,5.20%,4.70%,35.00%,49.70%,,5.20%,7.60%,30.90%,30.60%,8.30%,12.80%,4.60%,87.20%,17.30%,,(X),10.00%,90.00%,,(X)
0610_!!Percent!!Margin of Error,(X),,±0.8,±0.9,±0.8,±0.7,,±0.6,±0.6,,±1.2,N,±0.7,N,±0.2,±0.7,±0.6,±1.1,±0.9,,±0.8,±0.9,±1.3,±1.3,±0.8,±0.9,±0.5,±1.2,±1.0,,(X),±1.1,±1.1,,(X)
0611_!!Total!!Estimate,502739,,92312,112951,176779,120697,,243068,259671,,310268,45457,72328,N,N,46815,23086,98715,267753,,15762,25101,87118,108145,40286,137150,89177,461876,226327,,497159,33822,463337,,109448
0611_!!Total!!Margin of Error,±9120,,±5047,±6117,±5167,±4123,,±6146,±5322,,±7514,±4587,±5277,N,N,±5392,±3055,±6849,±6506,,±2527,±3261,±6561,±6271,±4279,±6684,±4818,±8884,±7344,,±9146,±4413,±9197,,±4340
0611_!!Percent!!Estimate,(X),,18.40%,22.50%,35.20%,24.00%,,48.30%,51.70%,,61.70%,9.00%,14.40%,N,N,9.30%,4.60%,19.60%,53.30%,,3.10%,5.00%,17.30%,21.50%,8.00%,27.30%,17.70%,91.90%,45.00%,,(X),6.80%,93.20%,,(X)
0611_!!Percent!!Margin of Error,(X),,±0.9,±1.1,±0.9,±0.8,,±0.7,±0.7,,±1.2,±0.9,±1.0,N,N,±1.0,±0.6,±1.2,±1.1,,±0.5,±0.6,±1.2,±1.2,±0.8,±1.2,±1.0,±0.8,±1.4,,(X),±0.9,±0.9,,(X)
0612_!!Total!!Estimate,584273,,117655,189444,162646,114528,,296492,287781,,294564,36385,189788,N,N,33193,25451,69487,267726,,30442,24506,65244,85773,25369,217726,135213,529325,352939,,577271,55052,522219,,130344
0612_!!Total!!Margin of Error,±8644,,±5055,±4437,±3945,±3028,,±5949,±4830,,±5969,±1624,±5451,N,N,±3884,±3328,±4263,±4650,,±3238,±2972,±4882,±6257,±2879,±7719,±6246,±8399,±7821,,±8726,±5301,±9874,,±4839
0612_!!Percent!!Estimate,(X),,20.10%,32.40%,27.80%,19.60%,,50.70%,49.30%,,50.40%,6.20%,32.50%,N,N,5.70%,4.40%,11.90%,45.80%,,5.20%,4.20%,11.20%,14.70%,4.30%,37.30%,23.10%,90.60%,60.40%,,(X),9.50%,90.50%,,(X)
0612_!!Percent!!Margin of Error,(X),,±0.7,±0.6,±0.6,±0.6,,±0.6,±0.6,,±0.9,±0.3,±0.8,N,N,±0.6,±0.6,±0.6,±0.7,,±0.5,±0.5,±0.8,±1.0,±0.5,±1.2,±1.1,±0.7,±1.3,,(X),±0.9,±0.9,,(X)
0613_!!Total!!Estimate,541697,,124588,156757,156049,104303,,256790,284907,,245157,101611,112840,3752,N,45307,30370,87044,216011,,19873,25454,81823,101717,29218,163239,120373,496370,283612,,528652,64138,464514,,95311
0613_!!Total!!Margin of Error,±8222,,±5284,±5008,±5802,±4076,,±6014,±4601,,±6859,±5209,±6061,±1037,N,±4928,±3555,±5367,±6211,,±2692,±2876,±5195,±6670,±3655,±6504,±5295,±8041,±8190,,±8296,±5620,±9770,,±3626
0613_!!Percent!!Estimate,(X),,23.00%,28.90%,28.80%,19.30%,,47.40%,52.60%,,45.30%,18.80%,20.80%,0.70%,N,8.40%,5.60%,16.10%,39.90%,,3.70%,4.70%,15.10%,18.80%,5.40%,30.10%,22.20%,91.60%,52.40%,,(X),12.10%,87.90%,,(X)
0613_!!Percent!!Margin of Error,(X),,±0.9,±1.0,±0.9,±0.7,,±0.6,±0.6,,±1.1,±0.9,±1.0,±0.2,N,±0.9,±0.6,±0.9,±1.1,,±0.5,±0.5,±0.9,±1.1,±0.7,±1.2,±1.0,±0.7,±1.5,,(X),±1.1,±1.1,,(X)
0614_!!Total!!Estimate,501803,,95409,118220,169287,118887,,242363,259440,,238223,16474,182593,N,6037,36707,19617,90633,192498,,20624,20576,79857,98449,40504,147324,94469,460603,241793,,496366,28576,467790,,130437
0614_!!Total!!Margin of Error,±10255,,±5265,±4782,±5168,±3890,,±6188,±6182,,±8053,±1507,±6198,N,±1388,±4200,±2512,±5619,±5593,,±2490,±3319,±6430,±5522,±3316,±6139,±4398,±9662,±7424,,±10356,±3658,±10245,,±7926
0614_!!Percent!!Estimate,(X),,19.00%,23.60%,33.70%,23.70%,,48.30%,51.70%,,47.50%,3.30%,36.40%,N,1.20%,7.30%,3.90%,18.10%,38.40%,,4.10%,4.10%,15.90%,19.60%,8.10%,29.40%,18.80%,91.80%,48.20%,,(X),5.80%,94.20%,,(X)
0614_!!Percent!!Margin of Error,(X),,±0.9,±0.8,±0.8,±0.7,,±0.7,±0.7,,±1.2,±0.3,±1.1,N,±0.3,±0.8,±0.5,±1.0,±0.9,,±0.5,±0.6,±1.2,±1.1,±0.6,±1.1,±0.8,±0.8,±1.3,,(X),±0.7,±0.7,,(X)
0615_!!Total!!Estimate,502500,,90099,129853,182382,100166,,249505,252995,,237472,30910,159512,N,4644,39806,27078,95417,190998,,15229,22711,101547,104784,37079,141169,79981,464560,221150,,497281,22918,474363,,124813
0615_!!Total!!Margin of Error,±9244,,±5229,±5747,±5522,±4691,,±5518,±6443,,±7287,±4409,±7364,N,±1109,±5261,±3443,±5696,±6481,,±2225,±2754,±6352,±6388,±3459,±5687,±4432,±9294,±7305,,±9494,±3282,±9630,,±3454
0615_!!Percent!!Estimate,(X),,17.90%,25.80%,36.30%,19.90%,,49.70%,50.30%,,47.30%,6.20%,31.70%,N,0.90%,7.90%,5.40%,19.00%,38.00%,,3.00%,4.50%,20.20%,20.90%,7.40%,28.10%,15.90%,92.40%,44.00%,,(X),4.60%,95.40%,,(X)
0615_!!Percent!!Margin of Error,(X),,±1.0,±1.1,±0.8,±0.9,,±0.8,±0.8,,±1.3,±0.9,±1.3,N,±0.2,±1.0,±0.7,±1.0,±1.3,,±0.4,±0.5,±1.2,±1.2,±0.7,±1.1,±0.8,±0.7,±1.3,,(X),±0.7,±0.7,,(X)
0616_!!Total!!Estimate,423209,,123080,113937,110768,75424,,204465,218744,,254165,N,39169,N,N,78074,15008,214974,126947,,32640,50459,119951,126534,35498,42266,15861,340110,58127,,405772,72834,332938,,52124
0616_!!Total!!Margin of Error,±11021,,±6113,±5740,±4840,±3419,,±7064,±5593,,±8603,N,±4249,N,N,±5904,±2151,±8644,±5290,,±3079,±4987,±7372,±6302,±3573,±4214,±2433,±9477,±4884,,±11133,±6879,±12063,,±3131
0616_!!Percent!!Estimate,(X),,29.10%,26.90%,26.20%,17.80%,,48.30%,51.70%,,60.10%,N,9.30%,N,N,18.40%,3.50%,50.80%,30.00%,,7.70%,11.90%,28.30%,29.90%,8.40%,10.00%,3.70%,80.40%,13.70%,,(X),17.90%,82.10%,,(X)
0616_!!Percent!!Margin of Error,(X),,±1.1,±1.1,±1.0,±0.8,,±0.8,±0.8,,±1.4,N,±0.9,N,N,±1.4,±0.5,±1.4,±1.1,,±0.7,±1.1,±1.6,±1.4,±0.8,±0.9,±0.6,±1.1,±1.1,,(X),±1.7,±1.7,,(X)
0617_!!Total!!Estimate,454565,,97203,105851,169565,81946,,232883,221682,,158626,15138,220644,N,N,34460,19177,68963,130372,,16242,19983,72187,80867,32704,135195,97387,418340,232582,,445514,22641,422873,,138807
0617_!!Total!!Margin of Error,±9708,,±5517,±5279,±6173,±4643,,±7164,±5769,,±7812,±3986,±9214,N,N,±5603,±2538,±6407,±6837,,±2405,±2469,±5598,±5290,±2976,±7208,±4422,±8678,±8035,,±9887,±3253,±10058,,±6549
0617_!!Percent!!Estimate,(X),,21.40%,23.30%,37.30%,18.00%,,51.20%,48.80%,,34.90%,3.30%,48.50%,N,N,7.60%,4.20%,15.20%,28.70%,,3.60%,4.40%,15.90%,17.80%,7.20%,29.70%,21.40%,92.00%,51.20%,,(X),5.10%,94.90%,,(X)
0617_!!Percent!!Margin of Error,(X),,±1.0,±1.1,±1.0,±1.0,,±0.9,±0.9,,±1.6,±0.9,±1.8,N,N,±1.2,±0.5,±1.4,±1.3,,±0.5,±0.5,±1.2,±1.1,±0.7,±1.4,±1.0,±0.7,±1.5,,(X),±0.7,±0.7,,(X)
0618_!!Total!!Estimate,486648,,86176,109282,177467,113723,,235472,251176,,338978,12419,101334,N,N,13906,17818,55222,301206,,7307,8887,57232,79375,29894,156056,147897,470454,303953,,474279,22929,451350,,149748
0618_!!Total!!Margin of Error,±10300,,±5229,±5129,±6341,±5164,,±6381,±7091,,±10425,±2278,±6039,N,N,±2690,±2446,±4604,±9383,,±2117,±1597,±4824,±5714,±2671,±6656,±5711,±9969,±8869,,±10539,±3215,±11274,,±4939
0618_!!Percent!!Estimate,(X),,17.70%,22.50%,36.50%,23.40%,,48.40%,51.60%,,69.70%,2.60%,20.80%,N,N,2.90%,3.70%,11.30%,61.90%,,1.50%,1.80%,11.80%,16.30%,6.10%,32.10%,30.40%,96.70%,62.50%,,(X),4.80%,95.20%,,(X)
0618_!!Percent!!Margin of Error,(X),,±0.9,±1.0,±1.0,±1.0,,±0.9,±0.9,,±1.2,±0.5,±1.3,N,N,±0.5,±0.5,±0.9,±1.1,,±0.4,±0.3,±0.9,±1.1,±0.6,±1.3,±1.1,±0.6,±1.5,,(X),±0.7,±0.7,,(X)
0619_!!Total!!Estimate,470847,,107333,117342,152591,93581,,237269,233578,,231763,14686,149322,N,N,48068,23927,147153,144283,,29726,28756,89525,113987,38728,115075,55050,412365,170125,,465012,32468,432544,,110823
0619_!!Total!!Margin of Error,±11181,,±5477,±4906,±6034,±4636,,±7632,±5930,,±7791,±2509,±7123,N,N,±5753,±3408,±7892,±5582,,±3147,±3148,±5974,±6722,±3358,±5870,±3475,±10506,±6561,,±11145,±3839,±10246,,±3637
0619_!!Percent!!Estimate,(X),,22.80%,24.90%,32.40%,19.90%,,50.40%,49.60%,,49.20%,3.10%,31.70%,N,N,10.20%,5.10%,31.30%,30.60%,,6.30%,6.10%,19.00%,24.20%,8.20%,24.40%,11.70%,87.60%,36.10%,,(X),7.00%,93.00%,,(X)
0619_!!Percent!!Margin of Error,(X),,±1.0,±0.9,±0.9,±0.9,,±0.8,±0.8,,±1.4,±0.5,±1.2,N,N,±1.2,±0.7,±1.4,±1.1,,±0.7,±0.6,±1.1,±1.2,±0.7,±1.2,±0.8,±1.0,±1.4,,(X),±0.8,±0.8,,(X)
0620_!!Total!!Estimate,446278,,119568,98614,129471,98625,,221708,224570,,307138,N,30198,N,N,71724,18976,168344,221993,,22630,25136,96421,117921,43048,85444,55678,398512,141122,,423430,43242,380188,,86494
0620_!!Total!!Margin of Error,±8264,,±4247,±4600,±4143,±2261,,±4440,±4985,,±8653,N,±2125,N,N,±5453,±2220,±7536,±3792,,±2886,±3420,±4723,±5780,±3265,±4950,±3605,±7347,±5104,,±8895,±5030,±8782,,±3464
0620_!!Percent!!Estimate,(X),,26.80%,22.10%,29.00%,22.10%,,49.70%,50.30%,,68.80%,N,6.80%,N,N,16.10%,4.30%,37.70%,49.70%,,5.10%,5.60%,21.60%,26.40%,9.60%,19.10%,12.50%,89.30%,31.60%,,(X),10.20%,89.80%,,(X)
0620_!!Percent!!Margin of Error,(X),,±0.8,±0.8,±0.8,±0.6,,±0.5,±0.5,,±1.3,N,±0.5,N,N,±1.2,±0.5,±1.1,±0.9,,±0.6,±0.7,±1.1,±1.2,±0.7,±1.1,±0.8,±0.9,±1.1,,(X),±1.1,±1.1,,(X)
0621_!!Total!!Estimate,376921,,122321,95182,103193,56225,,199204,177717,,263535,N,14966,N,N,60132,N,236594,98539,,38289,47314,120071,98889,26895,33208,12255,291318,45463,,348473,53481,294992,,51458
0621_!!Total!!Margin of Error,±13149,,±6639,±5500,±5839,±3494,,±7592,±7416,,±11182,N,±3390,N,N,±7279,N,±10935,±5728,,±3958,±4206,±7732,±7078,±3359,±3360,±2303,±11516,±3738,,±12744,±5301,±11951,,±2660
0621_!!Percent!!Estimate,(X),,32.50%,25.30%,27.40%,14.90%,,52.90%,47.10%,,69.90%,N,4.00%,N,N,16.00%,N,62.80%,26.10%,,10.20%,12.60%,31.90%,26.20%,7.10%,8.80%,3.30%,77.30%,12.10%,,(X),15.30%,84.70%,,(X)
0621_!!Percent!!Margin of Error,(X),,±1.3,±1.2,±1.2,±0.8,,±1.0,±1.0,,±1.9,N,±0.9,N,N,±1.8,N,±1.6,±1.4,,±1.0,±1.1,±1.5,±1.7,±0.8,±0.9,±0.6,±1.2,±0.9,,(X),±1.4,±1.4,,(X)
0622_!!Total!!Estimate,485479,,120296,133503,141512,90168,,234418,251061,,332330,N,42394,N,N,70102,16818,198931,217654,,23289,31254,114824,138967,59326,78072,39747,430936,117819,,480018,56315,423703,,71591
0622_!!Total!!Margin of Error,±11261,,±6170,±5322,±5166,±3555,,±6996,±6414,,±8819,N,±4203,N,N,±8342,±2664,±9800,±6761,,±3349,±3678,±7339,±6909,±5136,±5216,±3575,±10585,±6109,,±11079,±5937,±11293,,±2398
0622_!!Percent!!Estimate,(X),,24.80%,27.50%,29.10%,18.60%,,48.30%,51.70%,,68.50%,N,8.70%,N,N,14.40%,3.50%,41.00%,44.80%,,4.80%,6.40%,23.70%,28.60%,12.20%,16.10%,8.20%,88.80%,24.30%,,(X),11.70%,88.30%,,(X)
0622_!!Percent!!Margin of Error,(X),,±1.0,±1.0,±0.8,±0.7,,±0.8,±0.8,,±1.6,N,±0.8,N,N,±1.6,±0.5,±1.5,±1.4,,±0.7,±0.7,±1.3,±1.3,±1.0,±1.0,±0.7,±1.0,±1.2,,(X),±1.2,±1.2,,(X)
0623_!!Total!!Estimate,499637,,114496,134265,152684,98192,,249899,249738,,374627,34292,23449,N,N,39883,20493,166331,260919,,19019,43182,138774,143007,52348,70598,32709,437436,103307,,485591,62096,423495,,66520
0623_!!Total!!Margin of Error,±12101,,±6717,±5839,±5622,±3429,,±6819,±6869,,±9883,±2825,±3183,N,N,±5778,±3276,±10325,±5252,,±3044,±4207,±6989,±7089,±5500,±4710,±3224,±10518,±5953,,±12166,±6506,±12996,,±3365
0623_!!Percent!!Estimate,(X),,22.90%,26.90%,30.60%,19.70%,,50.00%,50.00%,,75.00%,6.90%,4.70%,N,N,8.00%,4.10%,33.30%,52.20%,,3.80%,8.60%,27.80%,28.60%,10.50%,14.10%,6.50%,87.60%,20.70%,,(X),12.80%,87.20%,,(X)
0623_!!Percent!!Margin of Error,(X),,±1.0,±1.0,±0.9,±0.7,,±0.6,±0.6,,±1.2,±0.6,±0.6,N,N,±1.1,±0.7,±1.5,±1.4,,±0.6,±0.8,±1.1,±1.3,±1.0,±1.0,±0.6,±0.9,±1.3,,(X),±1.3,±1.3,,(X)
0624_!!Total!!Estimate,510335,,139275,101814,143049,126197,,251419,258916,,425118,N,21412,5074,N,30228,15285,128090,334388,,12842,23027,102878,156885,42785,107625,64293,474466,171918,,481639,57565,424074,,79804
0624_!!Total!!Margin of Error,±6251,,±3344,±2950,±3211,±1353,,±4944,±3217,,±5215,N,±1455,±1276,N,±3984,±2426,±5701,±1991,,±2254,±3131,±5807,±6735,±3011,±5926,±4022,±6262,±6669,,±6541,±4832,±7333,,±2895
0624_!!Percent!!Estimate,(X),,27.30%,20.00%,28.00%,24.70%,,49.30%,50.70%,,83.30%,N,4.20%,1.00%,N,5.90%,3.00%,25.10%,65.50%,,2.50%,4.50%,20.20%,30.70%,8.40%,21.10%,12.60%,93.00%,33.70%,,(X),12.00%,88.00%,,(X)
0624_!!Percent!!Margin of Error,(X),,±0.5,±0.5,±0.5,±0.4,,±0.5,±0.5,,±0.9,N,±0.3,±0.2,N,±0.8,±0.5,±0.9,±0.8,,±0.4,±0.6,±1.1,±1.3,±0.6,±1.2,±0.8,±0.7,±1.3,,(X),±1.0,±1.0,,(X)
0625_!!Total!!Estimate,490670,,107759,115591,181118,86202,,243942,246728,,341438,49950,42150,N,N,33295,15657,165980,217994,,24316,35955,120964,134577,46500,86981,41377,430399,128358,,483054,42359,440695,,86574
0625_!!Total!!Margin of Error,±12876,,±6490,±5412,±7187,±5073,,±8316,±7559,,±10614,±6800,±4304,N,N,±4824,±2617,±10823,±8503,,±4153,±3510,±6759,±6339,±4152,±4004,±3063,±12106,±5022,,±12759,±5227,±13132,,±2726
0625_!!Percent!!Estimate,(X),,22.00%,23.60%,36.90%,17.60%,,49.70%,50.30%,,69.60%,10.20%,8.60%,N,N,6.80%,3.20%,33.80%,44.40%,,5.00%,7.30%,24.70%,27.40%,9.50%,17.70%,8.40%,87.70%,26.20%,,(X),8.80%,91.20%,,(X)
0625_!!Percent!!Margin of Error,(X),,±1.1,±1.0,±1.0,±1.0,,±0.9,±0.9,,±1.6,±1.3,±0.9,N,N,±1.0,±0.5,±2.0,±1.7,,±0.8,±0.7,±1.2,±1.1,±0.8,±0.7,±0.6,±1.2,±0.9,,(X),±1.1,±1.1,,(X)
0626_!!Total!!Estimate,483010,,104888,108823,159620,109679,,234217,248793,,398994,N,33829,N,N,18734,16776,171035,255096,,16866,22515,105431,121952,47032,107839,61375,443629,169214,,474166,28369,445797,,96677
0626_!!Total!!Margin of Error,±6366,,±3446,±3519,±4179,±2852,,±4405,±3628,,±7151,N,±2566,N,N,±3267,±2259,±5834,±4378,,±2069,±2778,±6348,±6309,±3701,±5171,±3321,±6371,±5843,,±6427,±3784,±7043,,±2855
0626_!!Percent!!Estimate,(X),,21.70%,22.50%,33.00%,22.70%,,48.50%,51.50%,,82.60%,N,7.00%,N,N,3.90%,3.50%,35.40%,52.80%,,3.50%,4.70%,21.80%,25.20%,9.70%,22.30%,12.70%,91.80%,35.00%,,(X),6.00%,94.00%,,(X)
0626_!!Percent!!Margin of Error,(X),,±0.6,±0.7,±0.7,±0.6,,±0.5,±0.5,,±0.9,N,±0.5,N,N,±0.7,±0.5,±0.9,±0.9,,±0.4,±0.6,±1.3,±1.2,±0.7,±1.1,±0.7,±0.7,±1.3,,(X),±0.8,±0.8,,(X)
0627_!!Total!!Estimate,482244,,95262,109978,162939,114065,,230040,252204,,209573,23387,177524,N,N,50988,17130,115713,151866,,24829,20681,82765,92651,38722,133231,89365,436734,222596,,473392,34984,438408,,96432
0627_!!Total!!Margin of Error,±11174,,±6087,±5510,±6668,±5610,,±7785,±6340,,±8374,±4417,±7938,N,N,±5913,±3041,±7794,±6871,,±3035,±2816,±6023,±5887,±3294,±6479,±5122,±10547,±8108,,±11293,±3643,±10831,,±2907
0627_!!Percent!!Estimate,(X),,19.80%,22.80%,33.80%,23.70%,,47.70%,52.30%,,43.50%,4.80%,36.80%,N,N,10.60%,3.60%,24.00%,31.50%,,5.10%,4.30%,17.20%,19.20%,8.00%,27.60%,18.50%,90.60%,46.20%,,(X),7.40%,92.60%,,(X)
0627_!!Percent!!Margin of Error,(X),,±1.1,±1.1,±1.0,±1.1,,±0.9,±0.9,,±1.5,±0.9,±1.5,N,N,±1.2,±0.6,±1.5,±1.3,,±0.6,±0.6,±1.1,±1.1,±0.7,±1.3,±1.0,±0.8,±1.6,,(X),±0.7,±0.7,,(X)
0628_!!Total!!Estimate,489048,,93181,148001,146873,100993,,235707,253341,,344488,17164,67841,N,N,34391,21288,93516,292089,,19393,20027,80746,88876,40888,161067,78051,449628,239118,,484531,54249,430282,,79636
0628_!!Total!!Margin of Error,±10675,,±6092,±6402,±6113,±4909,,±7185,±7271,,±8396,±3160,±6011,N,N,±4547,±4161,±5891,±7281,,±2323,±2566,±5400,±5330,±3981,±6722,±3982,±10246,±7579,,±10442,±4876,±10509,,±3404
0628_!!Percent!!Estimate,(X),,19.10%,30.30%,30.00%,20.70%,,48.20%,51.80%,,70.40%,3.50%,13.90%,N,N,7.00%,4.40%,19.10%,59.70%,,4.00%,4.10%,16.50%,18.20%,8.40%,32.90%,16.00%,91.90%,48.90%,,(X),11.20%,88.80%,,(X)
0628_!!Percent!!Margin of Error,(X),,±1.1,±1.1,±1.0,±1.0,,±1.0,±1.0,,±1.3,±0.6,±1.2,N,N,±0.9,±0.8,±1.1,±1.3,,±0.5,±0.5,±1.0,±0.9,±0.8,±1.2,±0.8,±0.7,±1.4,,(X),±1.0,±1.0,,(X)
0629_!!Total!!Estimate,416537,,119328,106533,120274,70402,,202354,214183,,255776,21689,36768,N,N,84134,14808,236921,111556,,39756,42182,100447,98981,33667,79735,21769,334599,101504,,413645,49902,363743,,66200
0629_!!Total!!Margin of Error,±14500,,±8805,±5604,±6183,±4690,,±8912,±8564,,±11977,±3575,±3243,N,N,±7550,±2701,±11383,±7307,,±3446,±3366,±7085,±6430,±3294,±4789,±2206,±11977,±5101,,±14476,±4622,±14296,,±2131
